product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Blanquette de Volaille et son Riz,Comme J’aime,"Meals,Meat-based products,Meals with meat,Poultry meals,Microwave meals,Turkey dishes",France,450.0,2.2,0.9,15.3,0.5,6.8,0.7,0.0
Financiers aux Amandes,Bijou,"Biscuits and cakes,Cakes,Financiers,fr:patisseries-fondantes-a-la-poudre-d-amande",France,1866.0,23.0,10.0,51.0,39.0,8.0,0.55,23.0
Foie gras de canard du Périgord,Le Moulin de Moreau,"Fish and meat and eggs,Foies gras,Foies gras from ducks",France,2276.0,56.0,23.0,23.0,0.6,7.1,1.9,24.0
Salade végétarienne,Crous Languedoc Roussillon,fr:salade-vegetarienne,France,252.0,1.9,0.3,7.4,2.2,2.0,0.3,-1.0
Salade fermière,Crous Languedoc Roussillon,"Meals,Salads,Prepared salads",France,582.0,6.8,3.8,7.6,1.4,10.8,0.8,1.0
Ciabatta Rôti de porc BBQ,Crous Languedoc Roussillon,fr:sandwich-au-roti-de-porc,France,736.0,2.8,0.7,28.2,4.0,8.4,1.0,-2.0
baguette Poitevin,Crous Languedoc Roussillon,"Sandwiches,Cheese sandwiches,Goat cheese sandwiches",France,891.0,5.9,3.7,32.1,2.0,9.5,1.3,4.0
madeleine Bijou ChocoPépites,Bijou,"Biscuits and cakes,Cakes,Madeleines",France,1979.0,25.0,5.0,55.0,32.0,5.8,0.63,16.0
Ananas au sirop,"Crous Languedoc Roussillon,Crous Resto'","Plant-based foods and beverages,Plant-based foods,Canned foods,Desserts,Fruits and vegetables based foods,Canned plant-based foods,Fruits based foods,Canned fruits,Fruits in syrup",France,234.0,0.0,0.0,14.0,13.0,0.0,0.0,-3.0
Cigarettes Fourrées Chocolat Noisettes,BIJOU,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,fr:biscuit-patissier-fourres-chocolat-noisette",France,2042.0,21.0,16.0,67.0,48.0,6.0,0.12,23.0
Couscous Alpina Savoie,Alpina Savoie,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains",France,1519.0,2.0,0.4,73.0,2.5,12.0,0.0,-5.0
10 wafer thin brunswick ham slices,By Sainsbury's,"Meats,Prepared meats,Meat-based products,Hams,German meat products",Foreign,661.0,7.8,3.2,0.6,0.6,21.2,2.0,12.0
Crème de marrons de l'Ardèche,Clément Faugier,"Plant-based foods and beverages,Plant-based foods,Spreads,Nuts and their products,Plant-based spreads,Chestnut spreads,Plant-based pâtés",France,1130.0,0.8,0.2,63.6,50.2,1.3,0.01,11.0
Crème de marrons de l'Ardèche,Clément faugier,"Plant-based foods and beverages,Plant-based foods,Spreads,Nuts and their products,Plant-based spreads,Chestnut spreads,Plant-based pâtés",France,1130.0,0.8,0.2,63.6,50.2,1.3,0.0,12.0
